target,platform,amount
0xC859BF9d7B8C557bBd229565124c2C09269F3aEF,aura,4091.6545
0xC859BF9d7B8C557bBd229565124c2C09269F3aEF,balancer,752.2978
0xFc3f916C28f32DEBA1cc04b1F6011F28a691134c,aura,0
0xFc3f916C28f32DEBA1cc04b1F6011F28a691134c,balancer,0
0x79eF6103A513951a3b25743DB509E267685726B7,aura,0
0x79eF6103A513951a3b25743DB509E267685726B7,balancer,11658.2765
0xCD19892916929F013930ed628547Cc1F439b230e,aura,1681.3809
0xCD19892916929F013930ed628547Cc1F439b230e,balancer,0.0000
0xf7B0751Fea697cf1A541A5f57D11058a8fB794ee,aura,4723.4135
0xf7B0751Fea697cf1A541A5f57D11058a8fB794ee,balancer,1020.1460
0x192e80145D8A78B4eF6ec5De5c8fD51aFC7F9c5e,aura,0
0x192e80145D8A78B4eF6ec5De5c8fD51aFC7F9c5e,balancer,0
0x6A58e7C904eCF991A3183d28FC73bE90732B7a30,aura,0
0x6A58e7C904eCF991A3183d28FC73bE90732B7a30,balancer,0
0x03ac2920378A51d6CA78813b1d7578Dab08d3760,aura,0
0x03ac2920378A51d6CA78813b1d7578Dab08d3760,balancer,1059.3536
0x0021e01B9fAb840567a8291b864fF783894EabC6,aura,2747.6356
0x0021e01B9fAb840567a8291b864fF783894EabC6,balancer,182.4711
0x4B14d90f76FCF4D69CbCCdf87643E5DD7815D21A,aura,0
0x4B14d90f76FCF4D69CbCCdf87643E5DD7815D21A,balancer,0
0xF6A7ad46b00300344C7d4739C0518db70e722DC4,aura,0
0xF6A7ad46b00300344C7d4739C0518db70e722DC4,balancer,1014.7069
0xa8B309a75f0D64ED632d45A003c68A30e59A1D8b,aura,14662.0365
0xa8B309a75f0D64ED632d45A003c68A30e59A1D8b,balancer,5233.8457
0x95201B61EF19C867dA0D093DF20021e1a559452c,aura,0
0x95201B61EF19C867dA0D093DF20021e1a559452c,balancer,0
0x0B9Ea598757c7D03FB1937cc16bdD2C9D416ff80,aura,2189.2146
0x0B9Ea598757c7D03FB1937cc16bdD2C9D416ff80,balancer,0.0000
0x0BcDb6d9b27Bd62d3De605393902C7d1a2c71Aab,aura,2496.4624
0x0BcDb6d9b27Bd62d3De605393902C7d1a2c71Aab,balancer,75.9808
0x253ED65fff980AEE7E94a0dC57BE304426048b35,aura,5379.0384
0x253ED65fff980AEE7E94a0dC57BE304426048b35,balancer,1298.1128
0x5C0F23A5c1be65Fa710d385814a7Fd1Bda480b1C,aura,8862.2013
0x5C0F23A5c1be65Fa710d385814a7Fd1Bda480b1C,balancer,2774.8770
0x2C2179abce3413E27BDA6917f60ae37F96D01826,aura,3993.9904
0x2C2179abce3413E27BDA6917f60ae37F96D01826,balancer,710.8909
0x10a361766e64D7983a97202ac3a0F4cee06Eb717,aura,0
0x10a361766e64D7983a97202ac3a0F4cee06Eb717,balancer,0
0x70754AB20c63cc65Ea12206CF28342723d731aC6,aura,0
0x70754AB20c63cc65Ea12206CF28342723d731aC6,balancer,0
0x84f7F5cD2218f31B750E7009Bb6fD34e0b945DaC,aura,5815.9737
0x84f7F5cD2218f31B750E7009Bb6fD34e0b945DaC,balancer,1483.3611
0xAC08fde28aa2D123B61a5dB3074cAF72760FfeEB,aura,0
0xAC08fde28aa2D123B61a5dB3074cAF72760FfeEB,balancer,0
0xe77D45b5dE97aC7717E4EdE6bE16E3D805fF02A5,aura,0
0xe77D45b5dE97aC7717E4EdE6bE16E3D805fF02A5,balancer,0
0xD98ed0426D18B115d6388923803e33ad8aaF11F8,aura,0
0xD98ed0426D18B115d6388923803e33ad8aaF11F8,balancer,0
0xbf65b3fA6c208762eD74e82d4AEfCDDfd0323648,aura,1332.4108
0xbf65b3fA6c208762eD74e82d4AEfCDDfd0323648,balancer,0.0000
0xee01c0d9c0439c94D314a6ecAE0490989750746C,aura,0
0xee01c0d9c0439c94D314a6ecAE0490989750746C,balancer,0
0xA71Adac76A2e34f8F988Fa6992E3bDAd08D92C01,aura,0
0xA71Adac76A2e34f8F988Fa6992E3bDAd08D92C01,balancer,0
0xdf54d2Dd06F8Be3B0c4FfC157bE54EC9cca91F3C,aura,0
0xdf54d2Dd06F8Be3B0c4FfC157bE54EC9cca91F3C,balancer,0
0x4D4264aebf65Bb1727bb5438E0b2Aaf86186DA50,aura,0
0x4D4264aebf65Bb1727bb5438E0b2Aaf86186DA50,balancer,1004.4122
0x183D73dA7adC5011EC3C46e33BB50271e59EC976,aura,0
0x183D73dA7adC5011EC3C46e33BB50271e59EC976,balancer,0
0xf720e9137baa9C7612e6CA59149a5057ab320cFa,aura,1790.7472
0xf720e9137baa9C7612e6CA59149a5057ab320cFa,balancer,0.0000
0x15C84754c7445D0DF6c613f1490cA07654347c1B,aura,2422.8564
0x15C84754c7445D0DF6c613f1490cA07654347c1B,balancer,44.7738
0xF22BbdAd6B3Dd9314BdF97724DF32b09Ff95C216,aura,2090.1974
0xF22BbdAd6B3Dd9314BdF97724DF32b09Ff95C216,balancer,0.0000
0xc6b65bc6bF4a5fF4D90fDf7f568cBF8C99419DA1,aura,0
0xc6b65bc6bF4a5fF4D90fDf7f568cBF8C99419DA1,balancer,0
0xBB034E493eBF45F874e038Ae76576Df9Cc1137e5,aura,0
0xBB034E493eBF45F874e038Ae76576Df9Cc1137e5,balancer,0
0xF937BF168B33D8D10d555e9a039Ec1B8e4c543d1,aura,0
0xF937BF168B33D8D10d555e9a039Ec1B8e4c543d1,balancer,0
0x62A82FE26E21a8807599374CaC8024fae342eF83,aura,0
0x62A82FE26E21a8807599374CaC8024fae342eF83,balancer,0
0xBE0967E7510604302b0F974E21A625D9f762B8bb,aura,1798.9321
0xBE0967E7510604302b0F974E21A625D9f762B8bb,balancer,251.5196
0x671eD21480acf63b0AB7297b901505F5BccAfa9b,aura,0
0x671eD21480acf63b0AB7297b901505F5BccAfa9b,balancer,0
0x27213687F92cdA21F10cc09A3e860B6D817Ef096,aura,1617.2297
0x27213687F92cdA21F10cc09A3e860B6D817Ef096,balancer,174.4830
0xd384F6aC540eFeF9378cf8F6453Ad38A696411b5,aura,0
0xd384F6aC540eFeF9378cf8F6453Ad38A696411b5,balancer,0
0x7E123aD65cc842AB93bf2Dc79A8eadE8975bd3Cb,aura,0
0x7E123aD65cc842AB93bf2Dc79A8eadE8975bd3Cb,balancer,0
0x3ABa56CeC68987963566a9AA93bb7f7DD28De3F5,aura,0
0x3ABa56CeC68987963566a9AA93bb7f7DD28De3F5,balancer,0
0x058059cb764a98c18B937222eD06C1ad2f174Dce,aura,0
0x058059cb764a98c18B937222eD06C1ad2f174Dce,balancer,0
0x061130d4715FCD4828BfCAf6B1a9B93DF5e6e4c9,aura,0
0x061130d4715FCD4828BfCAf6B1a9B93DF5e6e4c9,balancer,0
0xb6d101874B975083C76598542946Fe047f059066,aura,1955.8917
0xb6d101874B975083C76598542946Fe047f059066,balancer,318.0661
0xCD41Bc6DC6e9821C4C36848Ff3397493e458A5d1,aura,0
0xCD41Bc6DC6e9821C4C36848Ff3397493e458A5d1,balancer,0
0xEaF1eef5814D9be44D0dBFb54c7773844339B7F8,aura,1565.7231
0xEaF1eef5814D9be44D0dBFb54c7773844339B7F8,balancer,152.6454
0xE6a0FD593e6beca161D0D933b4Fb4fecaF49d46a,aura,0
0xE6a0FD593e6beca161D0D933b4Fb4fecaF49d46a,balancer,1162.1837
0xf8A95653CC7ee59AfA2304DcC518c431a15C292C,aura,0
0xf8A95653CC7ee59AfA2304DcC518c431a15C292C,balancer,0
0x5A482e8478d63219bC33C7F1d7Cdb599039ABad7,aura,0
0x5A482e8478d63219bC33C7F1d7Cdb599039ABad7,balancer,1393.7041
0x38F1e186cC7609D236AA2161e2ca622B5BC4Ef8b,aura,0
0x38F1e186cC7609D236AA2161e2ca622B5BC4Ef8b,balancer,0
0xBb1a15dfd849bc5a6F33C002999c8953aFA626Ad,aura,0
0xBb1a15dfd849bc5a6F33C002999c8953aFA626Ad,balancer,0
0x8135d6AbFd42707A87A7b94c5CFA3529f9b432AD,aura,8447.0637
0x8135d6AbFd42707A87A7b94c5CFA3529f9b432AD,balancer,3070.1425
0x4e15b9184553740f5C822bd3d6169029D302e63e,aura,0
0x4e15b9184553740f5C822bd3d6169029D302e63e,balancer,0
0x9965713498c74aee49cEf80B2195461F188F24f8,aura,4415.4460
0x9965713498c74aee49cEf80B2195461F188F24f8,balancer,1872.0262
0x82bcaD0C8F51D88ec339141F0d8953Bc25cc3d8c,aura,0
0x82bcaD0C8F51D88ec339141F0d8953Bc25cc3d8c,balancer,0
0xD103Dd49B8051A09B399A52E9A8aB629392dE2fb,aura,0
0xD103Dd49B8051A09B399A52E9A8aB629392dE2fb,balancer,0
0x2280B8C8B401CA54eBF15736B77E1d3bF4924A9D,aura,1662.6498
0x2280B8C8B401CA54eBF15736B77E1d3bF4924A9D,balancer,704.9173
0xd75026F8723b94d9a360A282080492d905c6A558,aura,1157.6842
0xd75026F8723b94d9a360A282080492d905c6A558,balancer,490.8261
0xefF145872582721e1b33931d61c3fE9C1ca66690,aura,0
0xefF145872582721e1b33931d61c3fE9C1ca66690,balancer,0
0xe9B2CB6836Be07357bCb8144F398730d5EC268E9,aura,0
0xe9B2CB6836Be07357bCb8144F398730d5EC268E9,balancer,0
0xa86e8e8CfAe8C9847fA9381d4631c13c7b3466bd,aura,0
0xa86e8e8CfAe8C9847fA9381d4631c13c7b3466bd,balancer,924.1239
0x1e916950A659Da9813EE34479BFf04C732E03deb,aura,4238.0002
0x1e916950A659Da9813EE34479BFf04C732E03deb,balancer,872.6702
0xBf4116cEf22D4565A16696427Eaefc248F47Beb6,aura,0
0xBf4116cEf22D4565A16696427Eaefc248F47Beb6,balancer,0
0x6d060a785530cB13795b3c5a43320c462811d43b,aura,0
0x6d060a785530cB13795b3c5a43320c462811d43b,balancer,0
0xf8C85bd74FeE26831336B51A90587145391a27Ba,aura,8878.1849
0xf8C85bd74FeE26831336B51A90587145391a27Ba,balancer,3764.1034
0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f,payment,50218.3282
